timestamp_iso,workspace_root,scope,file_path,reason
"2026-03-24T12:08:11.5528480+09:00","W:\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","user","C:\Users\d-dobson\.codex\AGENTS.md","startup read: user-level AGENTS.md"
"2026-03-24T12:08:11.5528480+09:00","W:\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","repo","\\prod-fs-gen01\workfile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker\AGENTS.md","startup read: repo-level AGENTS.md"
"2026-03-24T12:08:11.5528480+09:00","W:\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","user","C:\Users\d-dobson\.codex\memories\user-learning.md","startup read: canonical user-learning memory"
"2026-03-24T12:08:11.5528480+09:00","W:\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","repo","\\prod-fs-gen01\workfile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker\user-learning-mirror.md","startup read: repo user-learning mirror"
"2026-03-24T12:08:11.5528480+09:00","W:\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","repo","\\prod-fs-gen01\workfile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker\project-learning.md","startup read: project learning"
"2026-03-24T12:08:11.5528480+09:00","W:\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","repo","\\prod-fs-gen01\workfile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker\project-journal.md","startup read: project journal"
"2026-04-14T21:23:32.4373904+09:00","\\prod-fs-gen01\WorkFile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","user","C:\Users\d-dobson\.codex\AGENTS.md","startup read: user-level AGENTS.md"
"2026-04-14T21:23:32.4373904+09:00","\\prod-fs-gen01\WorkFile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","repo","Microsoft.PowerShell.Core\FileSystem::\\prod-fs-gen01\WorkFile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker\AGENTS.md","startup read: repo-level AGENTS.md"
"2026-04-14T21:23:32.4373904+09:00","\\prod-fs-gen01\WorkFile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","user","C:\Users\d-dobson\.codex\memories\user-learning.md","startup read: canonical user-learning memory"
"2026-04-14T21:23:32.4373904+09:00","\\prod-fs-gen01\WorkFile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker","repo","Microsoft.PowerShell.Core\FileSystem::\\prod-fs-gen01\WorkFile\04_在宅勤務\★グローバルビジネス推進部（在宅）\ランゲージサービス課\Dobson（在宅）\04. Projects\code\textmaker\user-learning-mirror.md","startup read: repo user-learning mirror"
